slug,nom_reel,code_postal,code_insee,pop2012,surface,long_deg,lat_deg
ozan,Ozan,01190,1284,500,6.6,4.91667,46.3833
cormoranche-sur-saone,Cormoranche-sur-Saône,01290,1123,1000,9.85,4.83333,46.2333
plagne-01,Plagne,01130,1298,100,6.2,5.73333,46.1833
tossiat,Tossiat,01250,1422,1400,10.17,5.31667,46.1333
pouillat,Pouillat,01250,1309,100,6.23,5.43333,46.3333
torcieu,Torcieu,01230,1421,700,10.72,5.4,45.9167
replonges,Replonges,01620,1320,3300,16.6,4.88333,46.3
corcelles,Corcelles,01110,1119,200,14.16,5.58333,46.0333
peron,Péron,01630,1288,1900,26.01,5.93333,46.2
relevant,Relevant,01990,1319,400,12.38,4.95,46.0833
chaveyriat,Chaveyriat,01660,1096,900,16.87,5.06667,46.1833
vaux-en-bugey,Vaux-en-Bugey,01150,1431,1100,8.22,5.35,45.9167
maillat,Maillat,01430,1228,700,11.31,5.55,46.1333
faramans-01,Faramans,01800,1156,600,11.22,5.11667,45.9
beon-01,Béon,01350,1039,400,10.3,5.75,45.8333
saint-bernard-01,Saint-Bernard,01600,1339,1400,3.15,4.73723,45.945
rossillon,Rossillon,01510,1329,100,8.07,5.6,45.8333
pont-d-ain,Pont-d'Ain,01160,1304,2500,11.22,5.33333,46.05
nantua,Nantua,01460,1269,3600,12.79,5.61667,46.15
chavannes-sur-reyssouze,Chavannes-sur-Reyssouze,01190,1094,700,16.55,5.0,46.4333
neuville-les-dames,Neuville-les-Dames,01400,1272,1500,26.59,5.0,46.1667
flaxieu,Flaxieu,01350,1162,100,2.79,5.73333,45.8167
hotonnes,Hotonnes,01260,1187,300,28.4,5.68333,46.0
saint-sorlin-en-bugey,Saint-Sorlin-en-Bugey,01150,1386,1100,9.07,5.36667,45.8833
songieu,Songieu,01260,1409,100,20.58,5.7,45.9667
virieu-le-petit,Virieu-le-Petit,01260,1453,300,16.36,5.71667,45.9
saint-denis-en-bugey,Saint-Denis-en-Bugey,01500,1345,2100,2.61,5.33333,45.95
charnoz-sur-ain,Charnoz-sur-Ain,01800,1088,900,6.62,5.21667,45.8667
chazey-sur-ain,Chazey-sur-Ain,01150,1099,1400,21.95,5.25,45.9
marchamp,Marchamp,01680,1233,100,13.11,5.55,45.7833
culoz,Culoz,01350,1138,2900,19.36,5.78333,45.85
mantenay-montlin,Mantenay-Montlin,01560,1230,300,10.8,5.08333,46.4167
marboz,Marboz,01851,1232,2200,40.14,5.25,46.3333
foissiat,Foissiat,01340,1163,1900,40.36,5.18333,46.3667
treffort-cuisiat,Treffort-Cuisiat,01370,1426,2100,39.41,5.36834,46.2714
izieu,Izieu,01300,1193,200,7.67,5.63333,45.65
saint-etienne-du-bois-01,Saint-Étienne-du-Bois,01370,1350,2400,28.38,5.28333,46.2833
hauteville-lompnes,Hauteville-Lompnes,01110,1185,4200,50.34,5.6,45.9667
saint-trivier-sur-moignans,Saint-Trivier-sur-Moignans,01990,1389,1900,41.99,4.9,46.0667
peyriat,Peyriat,01430,1293,200,5.96,5.51667,46.15
evosges,Évosges,01230,1155,100,12.08,5.5,45.9583
poncin,Poncin,01450,1303,1600,19.77,5.4,46.0833
crans-01,Crans,01320,1129,300,13.23,5.21667,45.9667
montreal-la-cluse,Montréal-la-Cluse,01460,1265,3500,12.83,5.57084,46.1867
cleyzieu,Cleyzieu,01230,1107,100,7.82,5.43333,45.9
lompnieu,Lompnieu,01260,1221,100,11.35,5.65,45.9667
villereversure,Villereversure,01250,1447,1200,17.45,5.38333,46.1833
saint-martin-du-mont-01,Saint-Martin-du-Mont,01160,1374,1600,28.09,5.33333,46.1
saint-genis-pouilly,Saint-Genis-Pouilly,01630,1354,8400,9.77,6.01667,46.25
bolozon,Bolozon,01450,1051,100,4.92,5.48333,46.2
confrancon,Confrançon,01310,1115,1100,18.17,5.06667,46.2667
lochieu,Lochieu,01260,1218,100,7.07,5.71667,45.9333
chanoz-chatenay,Chanoz-Châtenay,01400,1084,700,13.42,5.03333,46.1833
villebois,Villebois,01150,1444,1100,14.46,5.43333,45.85
ceignes,Ceignes,01430,1067,300,10.01,5.5,46.1167
saint-didier-sur-chalaronne,Saint-Didier-sur-Chalaronne,01140,1348,2700,24.98,4.81667,46.1667
revonnas,Revonnas,01250,1321,700,7.75,5.33333,46.1667
bourg-saint-christophe,Bourg-Saint-Christophe,01800,1054,1100,8.98,5.16667,45.8833
condeissiat,Condeissiat,01400,1113,700,21.64,5.08333,46.1667
pirajoux,Pirajoux,01270,1296,300,12.99,5.3,46.3833
chalamont,Chalamont,01320,1074,2200,32.88,5.16667,46.0
plantay,Le Plantay,01330,1299,500,19.96,5.08333,46.0167
versailleux,Versailleux,01330,1434,300,18.77,5.1,45.9833
montagnat,Montagnat,01250,1254,1600,13.75,5.28333,46.1667
vieu,Vieu,01260,1442,400,6.54,5.68333,45.9
saint-andre-de-corcy,Saint-André-de-Corcy,01390,1333,3000,20.73,4.95,45.9167
bressolles-01,Bressolles,01360,1062,700,7.73,5.1,45.8667
peronnas,Péronnas,01960,1289,6100,17.55,5.2,46.1833
colomieu,Colomieu,01300,1110,100,5.96,5.61667,45.7333
monthieux,Monthieux,01390,1261,600,10.75,4.93333,45.95
saint-jean-sur-reyssouze,Saint-Jean-sur-Reyssouze,01560,1364,700,27.48,5.06667,46.4
garnerans,Garnerans,01140,1167,600,8.57,4.83333,46.2
montrevel-en-bresse,Montrevel-en-Bresse,01340,1266,2400,10.27,5.13333,46.3333
conand,Conand,01230,1111,100,15.28,5.46667,45.8833
challes-la-montagne,Challes-la-Montagne,01450,1077,200,7.65,5.46667,46.1333
mogneneins,Mogneneins,01140,1252,700,8.57,4.81667,46.1333
thoissey,Thoissey,01140,1420,1500,1.34,4.8,46.1667
chaleins,Chaleins,01480,1075,1200,17.0,4.8,46.0333
neuville-sur-ain,Neuville-sur-Ain,01160,1273,1500,19.79,5.36667,46.0833
thil-01,Thil,01120,1418,1100,5.15,5.01667,45.8167
jujurieux,Jujurieux,01640,1199,2000,15.39,5.41667,46.0333
oncieu,Oncieu,01230,1279,100,7.76,5.46667,45.95
lurcy,Lurcy,01090,1225,400,4.81,4.76667,46.0667
balan-01,Balan,01360,1027,2400,18.04,5.1,45.8333
ambutrix,Ambutrix,01500,1008,700,5.22,5.33333,45.9333
sainte-croix-01,Sainte-Croix,01120,1342,500,10.62,5.05195,45.8942
blyes,Blyes,01150,1047,900,9.32,5.25,45.85
conzieu,Conzieu,01300,1117,100,7.2,5.6,45.7333
nievroz,Niévroz,01120,1276,1500,10.46,5.06667,45.8333
nurieux-volognat,Nurieux-Volognat,01460,1267,1100,19.34,5.52667,46.1856
ambleon,Ambléon,01300,1006,100,5.88,5.6,45.75
saint-maurice-de-gourdans,Saint-Maurice-de-Gourdans,01800,1378,2400,25.39,5.2,45.8167
chezery-forens,Chézery-Forens,01200,1104,400,46.57,5.88333,46.2167
sault-brenaz,Sault-Brénaz,01150,1396,1100,5.61,5.41667,45.85
murs-et-gelignieux,Murs-et-Gélignieux,01300,1268,200,6.46,5.66667,45.6333
petit-abergement,Le Petit-Abergement,01260,1292,100,26.95,5.65,46.0333
cormoz,Cormoz,01560,1124,500,19.56,5.23333,46.45
saint-martin-de-bavel,Saint-Martin-de-Bavel,01510,1372,500,8.5,5.68333,45.85
saint-trivier-de-courtes,Saint-Trivier-de-Courtes,01560,1388,1000,16.53,5.08333,46.4667
